"id_item","est_dans_id_item","date_est_dans"
20727,30410,11-juil.-07
20728,30050,11-juil.-07
20729,30068,11-juil.-07
20731,30127,11-juil.-07
20732,30014,11-juil.-07
20733,30135,11-juil.-07
20734,30270,11-juil.-07
20735,30121,11-juil.-07
20736,30020,11-juil.-07
20737,30020,11-juil.-07
20738,30121,11-juil.-07
20739,30121,11-juil.-07
20740,30056,11-juil.-07
20741,30056,11-juil.-07
20742,30056,11-juil.-07
20743,30148,11-juil.-07
20744,30271,11-juil.-07
20745,30296,11-juil.-07
20746,30068,11-juil.-07
20747,30121,11-juil.-07
20748,30222,23-oct.-09
20749,30020,11-juil.-07
20750,30156,11-juil.-07
20751,30273,11-juil.-07
20752,30148,11-juil.-07
20753,30011,11-juil.-07
20754,30020,11-juil.-07
20755,30287,11-juil.-07
20756,30287,11-juil.-07
20757,30121,11-juil.-07
20758,30372,11-juil.-07
20759,30015,11-juil.-07
20760,30465,11-juil.-07
20761,30275,11-juil.-07
20762,30426,11-juil.-07
20763,30426,11-juil.-07
20764,30426,11-juil.-07
20765,30426,11-juil.-07
20766,30426,11-juil.-07
20767,30276,11-juil.-07
20768,30121,11-juil.-07
20769,30019,11-juil.-07
20770,30042,11-juil.-07
20771,30358,11-juil.-07
20772,30462,11-juil.-07
20773,30074,11-juil.-07
20774,30074,11-juil.-07
20775,30278,11-juil.-07
20776,30366,11-juil.-07
20777,30410,11-juil.-07
20778,30145,11-juil.-07
20779,30121,11-juil.-07
20780,30141,19-juin-09
20781,30020,11-juil.-07
20782,30058,11-juil.-07
20783,30058,11-juil.-07
20784,30058,11-juil.-07
20785,30058,11-juil.-07
20786,30061,11-juil.-07
20787,30061,11-juil.-07
20788,30061,11-juil.-07
20789,30061,11-juil.-07
20790,30184,11-juil.-07
20791,30031,11-juil.-07
20792,30040,11-juil.-07
20793,30068,11-juil.-07
20794,30121,11-juil.-07
20795,30068,11-juil.-07
20796,30068,11-juil.-07
20797,30506,11-juil.-07
20798,30506,11-juil.-07
20799,30506,11-juil.-07
20800,30281,11-juil.-07
20801,30020,11-juil.-07
20802,30089,11-juil.-07
20803,30089,11-juil.-07
20804,30206,11-juil.-07
20805,30283,11-juil.-07
20807,30095,11-juil.-07
20808,30012,11-juil.-07
20809,30053,11-juil.-07
20810,30020,11-juil.-07
20811,30121,11-juil.-07
20812,30121,11-juil.-07
20813,30482,11-juil.-07
20814,30020,11-juil.-07
20815,30030,11-juil.-07
20816,30347,11-juil.-07
20817,30062,11-juil.-07
20818,30062,11-juil.-07
20819,30062,11-juil.-07
20820,30062,11-juil.-07
20821,30017,11-juil.-07
20822,30167,11-juil.-07
20823,30121,11-juil.-07
20824,30121,11-juil.-07
20825,30410,11-juil.-07
20826,30450,11-juil.-07
20827,30462,11-juil.-07
20828,30014,11-juil.-07
20829,30410,11-juil.-07
20830,30410,11-juil.-07
20831,30410,11-juil.-07
20832,30497,11-juil.-07
20833,30288,11-juil.-07
20834,30288,11-juil.-07
20835,30399,11-juil.-07
20836,30289,11-juil.-07
20837,30098,11-juil.-07
20838,30315,11-juil.-07
20839,30486,11-juil.-07
20841,30425,11-juil.-07
20842,30425,11-juil.-07
20843,30425,11-juil.-07
20844,30338,11-juil.-07
20845,30198,11-juil.-07
20846,30108,11-juil.-07
20847,30456,11-juil.-07
20848,30063,11-juil.-07
20849,30291,11-juil.-07
20850,30291,11-juil.-07
20851,30291,11-juil.-07
20852,30121,11-juil.-07
20853,30064,11-juil.-07
20854,30020,11-juil.-07
20855,30204,11-juil.-07
20856,30135,11-juil.-07
20857,30480,11-juil.-07
20858,30071,11-juil.-07
20859,30031,11-juil.-07
20860,30012,11-juil.-07
20861,30011,11-juil.-07
20862,30011,11-juil.-07
20863,30065,11-juil.-07
20864,30066,11-juil.-07
20865,30290,11-juil.-07
20866,30112,11-juil.-07
20867,30293,11-juil.-07
20868,30105,11-juil.-07
20869,30105,11-juil.-07
20870,30105,11-juil.-07
20871,30105,11-juil.-07
