"id_item","nom","autre_nom","id_type_item","date_item","remarques_item"
20270,"Asperula spp.",,4,11-juil.-07,
20271,"Asplenium nidus",,4,11-juil.-07,
20272,"Astacus astacus",,4,11-juil.-07,
20273,"Aster spp.",,4,11-juil.-07,
20274,"Astilbe spp.",,4,11-juil.-07,
20275,"Astragalus glycyphyllos",,4,11-juil.-07,
20276,"Astragalus spp.",,4,05-mars-08,"A. gummifer dans Allergome"
20277,"Athrotaxis spp.",,4,11-juil.-07,
20278,"Atriplex canescens",,4,11-juil.-07,
20279,"Atriplex confertifolia",,4,11-juil.-07,
20280,"Atriplex hortensis",,4,11-juil.-07,
20281,"Atriplex lentiformis",,4,11-juil.-07,
20282,"Atriplex littoralis",,4,11-juil.-07,
20283,"Atriplex nummularia",,4,11-juil.-07,
20284,"Atriplex polycarpa",,4,11-juil.-07,
20285,"Atriplex spp.",,4,11-juil.-07,
20286,"Atriplex wrightii",,4,11-juil.-07,
20287,"Atropa belladona",,4,11-juil.-07,
20288,"Attagenus pellio",,4,05-mars-08,
20289,"Aubrietia spp.",,4,11-juil.-07,
20290,"Aucuba japonica",,4,06-avr.-10,
20291,"Aureobasidium pullulans",,4,11-juil.-07,
20292,"Austroglycyphagus malaysiensis",,4,11-juil.-07,
20293,"Avena fatua",,4,11-juil.-07,
20294,"Avena sativa",,4,11-juil.-07,
20295,"Avena spp.",,4,11-juil.-07,
20296,"Averrhoa carambola",,4,11-juil.-07,
20297,"Azadirachta indica",,4,11-juil.-07,
20298,"Azara microphylla",,4,11-juil.-07,
20299,"Baccharis spp.",,4,11-juil.-07,
20300,"Anisakis spp.",,4,11-juil.-07,
20301,"Arctium spp.",,4,11-juil.-07,
20302,"Brassica spp.",,4,11-juil.-07,
20303,"Bacillus lentus",,4,11-juil.-07,
20304,"Bactrocera tryoni",,4,11-juil.-07,
20305,"Balanus amphitrite",,4,11-juil.-07,"existe dans ITIS mais pas de nom commun (barnacle est donné pour une autre espèce)"
20306,"Balanus rostratus",,4,11-juil.-07,"existe dans ITIS"
20307,"Bambusa spp.",,4,11-juil.-07,
20308,"Bassia hyssopifolia","amaranthacées?",4,11-juil.-07,
20309,"Bassia scoparia","Kochia scoparia",4,11-juil.-07,
20310,"Beauveria bassiana",,4,11-juil.-07,
20311,"Begonia spp.",,4,11-juil.-07,
20312,"Bellis perennis",,4,11-juil.-07,
20313,"Berberis spp.",,4,11-juil.-07,
20314,"Bergenia spp.",,4,11-juil.-07,
20315,"Bertholletia excelsa",,4,11-juil.-07,
20316,"Beryx splendens",,4,11-juil.-07,
20317,"Beta vulgaris",,4,11-juil.-07,
20318,"Beta vulgaris altissima",,4,11-juil.-07,
20319,"Beta vulgaris cicla",,4,11-juil.-07,
20320,"Beta vulgaris craca",,4,11-juil.-07,
20321,"Beta vulgaris flavescens",,4,11-juil.-07,
20322,"Betula lenta",,4,11-juil.-07,
20323,"Betula nigra",,4,11-juil.-07,
20324,"Betula occidentalis",,4,11-juil.-07,
20325,"Betula platyphylla",,4,11-juil.-07,
20326,"Betula populifolia",,4,11-juil.-07,
20327,"Betula pubescens","Betula alba",4,11-juil.-07,
20328,"Betula spp.",,4,11-juil.-07,
20329,"Betula utilis",,4,11-juil.-07,
20330,"Betula verrucosa","Betula pendula",4,11-juil.-07,
20331,"Bidens spp.",,4,11-juil.-07,
20332,"Bignonia capreolata",,4,11-juil.-07,
20333,"Biomphalaria glabrata",,4,11-juil.-07,
20334,"Drechslera halodes","Bipolaris halodes",4,05-mars-08,
20335,"Bipolaris sorokiniana",,4,11-juil.-07,"? Pas dans ITIS"
20336,"Bipolaris spicifera",,4,11-juil.-07,"? Pas dans ITIS"
20337,"Bipolaris spp.",,4,11-juil.-07,"? Pas dans ITIS"
20338,"Bitis arietans",,4,11-juil.-07,
20339,"Bixa orellana",,4,11-juil.-07,
20340,"Blatta orientalis",,4,11-juil.-07,
20341,"Blattella asahinai",,4,11-juil.-07,
20342,"Blattella germanica",,4,11-juil.-07,
20343,"Blighia sapida",,4,05-nov.-07,
20344,"Blomia freemani",,4,11-juil.-07,
20345,"Blomia kulagini",,4,01-déc.-09,
